Category,Drug Count
"Heterocyclic Compounds, Fused-Ring",1894
"Amino Acids, Peptides, and Proteins",1647
Cytochrome P-450 Substrates,1145
Proteins,981
Sulfur Compounds,953
Cytochrome P-450 CYP3A Substrates,872
Cytochrome P-450 CYP3A4 Substrates,864
Enzyme Inhibitors,862
Anti-Infective Agents,811
Benzene Derivatives,784
"Compounds used in a research, industrial, or household setting",725
Central Nervous System Depressants,720
Amides,717
Cytochrome P-450 Enzyme Inhibitors,709
Antineoplastic Agents,702
Amines,656
Central Nervous System Agents,653
Blood Proteins,626
Cell-mediated Immunity,623
Neurotransmitter Agents,622
Increased Histamine Release,622
Serum Globulins,556
Drugs that are Mainly Renally Excreted,554
Nervous System,547
Peptides,544
Immunoglobulins,541
Peripheral Nervous System Agents,540
Globulins,519
Immunoproteins,505
Carbohydrates,505
Alimentary Tract and Metabolism,489
Antibodies,484
Cardiovascular Agents,479
Antineoplastic and Immunomodulating Agents,475
Biological Factors,457
"Acids, Acyclic",446
"Acids, Carbocyclic",420
"Antibodies, Monoclonal",417
"Hormones, Hormone Substitutes, and Hormone Antagonists",413
Lipids,412
P-glycoprotein substrates,401
Antiinfectives for Systemic Use,393
Agents that produce hypertension,388
Cytochrome P-450 CYP3A Inhibitors,381
QTc Prolonging Agents,380
Anti-Bacterial Agents,369
Increased IgG Production,369
Fused-Ring Compounds,367
Cytochrome P-450 CYP3A4 Inhibitors,362
Steroids,360
Amino Acids,356
Dermatologicals,353
Hormones,348
P-glycoprotein inhibitors,344
Alcohols,337
"Nucleic Acids, Nucleotides, and Nucleosides",337
Immunosuppressive Agents,326
Cytochrome P-450 Enzyme Inducers,310
Agents causing hyperkalemia,302
Analgesics,300
Sensory System Agents,299
Cytochrome P-450 CYP2D6 Substrates,297
Anti-Inflammatory Agents,286
Antidepressive Agents,282
Cytochrome P-450 CYP2C9 Substrates,268
Agents producing tachycardia,258
Alkaloids,257
Benzoates,256
Narrow Therapeutic Index Drugs,253
Pyridines,252
Genito Urinary System and Sex Hormones,251
Sulfones,251
Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome,247
Cytochrome P-450 CYP2D6 Inhibitors,239
Cytochrome P-450 CYP3A Inducers,233
Protective Agents,233
Antibacterials for Systemic Use,230
Complex Mixtures,229
Fatty Acids,229
Cytochrome P-450 CYP1A2 Substrates,228
Pyrimidines,227
Enzymes and Coenzymes,226
Toxic Actions,226
Cytochrome P-450 CYP3A4 Inducers,223
Cytochrome P-450 CYP3A5 Substrates,220
Nephrotoxic agents,219
Phenols,218
Non-Standardized Pollen Allergenic Extract,218
Antiviral Agents,216
Cytochrome P-450 CYP2C19 Substrates,214
Purines,214
Cytochrome P-450 CYP3A4 Inhibitors (strength unknown),213
Terpenes,213
Autonomic Agents,212
Biological Products,209
Serotonin Agents,209
Psychotropic Drugs,206
Ophthalmologicals,199
Sensory Organs,198
Potential QTc-Prolonging Agents,197
Non-Standardized Food Allergenic Extract,197
Blood and Blood Forming Organs,196
Antihypertensive Agents,194
Vasodilating Agents,193
"Antibodies, Monoclonal, Humanized",192
Immunologic Factors,191
Gastrointestinal Agents,189
Cytochrome P-450 CYP2C9 Inhibitors,189
Hematologic Agents,188
Antirheumatic Agents,187
Cytochrome P-450 CYP2C8 Substrates,187
Adrenal Cortex Hormones,186
Membrane Transport Modulators,185
Musculo-Skeletal System,183
Pyrans,178
"Analgesics, Non-Narcotic",177
Protein Kinase Inhibitors,177
Hypotensive Agents,175
Hydroxy Acids,175
Psycholeptics,175
Cycloparaffins,173
Anticholinergic Agents,173
Cytochrome P-450 CYP3A4 Inducers (strength unknown),172
Cytochrome P-450 CYP1A2 Inhibitors,171
Adrenergic Agents,171
Antiarrhythmic agents,169
Nucleotides,168
Cytochrome P-450 CYP2C19 Inhibitors,163
Cytochrome P-450 CYP2C8 Inhibitors,162
Noxae,160
Pharmaceutical Preparations,160
OATP1B1/SLCO1B1 Inhibitors,159
Photosensitizing Agents,158
Glycosides,158
Nucleosides,156
Vaccines,155
BCRP/ABCG2 Inhibitors,154
Neurotoxic agents,147
Bradycardia-Causing Agents,144
BCRP/ABCG2 Substrates,144
Antiparasitic Agents,144
Enzymes,143
Cytochrome P-450 CYP2C9 Inhibitors (strength unknown),143
Electrolytes,136
Ions,136
Benzopyrans,136
Anions,135
Indoles,133
"Anti-Inflammatory Agents, Non-Steroidal",132
Drugs causing inadvertant photosensitivity,130
Macromolecular Substances,129
Peptide Hormones,128
Respiratory System Agents,128
Quinolines,128
Muscarinic Antagonists,127
Lactams,127
Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),126
Tranquilizing Agents,126
Polysaccharides,125
Cytochrome P-450 CYP2D6 Inhibitors (strength unknown),125
Polymers,123
OAT1/SLC22A6 inhibitors,122
Sulfonamides,122
Protease Inhibitors,121
Pregnanes,121
Cardiac Therapy,121
Hyperglycemia-Associated Agents,120
Serotonin Receptor Antagonists,120
Myelosuppressive Agents,119
Agents that reduce seizure threshold,119
Adrenergic Antagonists,119
Amino Alcohols,118
