Name,DrugBank ID,Type,Categories,Has Dosing,Frequency,Times Per Day,Routes,Interaction Count,Food Interaction Count,Has Description,Groups
Lepirudin,,biotech,"Amino Acids, Peptides, and Proteins; Anticoagulants; Antithrombin Proteins; Antithrombins; Blood and Blood Forming Organs; Cardiovascular Agents; Enzyme Inhibitors; Fibrin Modulating Agents; Hematologic Agents; Peptides; Protease Inhibitors; Proteins; Serine Protease Inhibitors; Serpins; Thrombin Inhibitors",No,,,,0,1,Yes,approved; withdrawn
Cetuximab,,biotech,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antineoplastic Agents; Antineoplastic Agents, Immunological; Antineoplastic and Immunomodulating Agents; Blood Proteins; Cancer immunotherapy; EGFR (Epidermal Growth Factor Receptor) inhibitors; Epidermal Growth Factor Receptor Antagonist; Globulins; HER1 Antagonists; Immunoglobulins; Immunoproteins; Immunotherapy; Monoclonal antibodies and antibody drug conjugates; Narrow Therapeutic Index Drugs; Proteins; Serum Globulins",No,,,,0,0,Yes,approved
Dornase alfa,,biotech,"Amino Acids, Peptides, and Proteins; Cough and Cold Preparations; Decreased Respiratory Secretion Viscosity; Deoxyribonucleases; Endodeoxyribonucleases; Endonucleases; Enzymes; Enzymes and Coenzymes; Esterases; Expectorants; Hydrolases; Proteins; Recombinant Human Deoxyribonuclease 1",No,,,,0,0,Yes,approved
Denileukin diftitox,,biotech,"ADP Ribose Transferases; Amino Acids, Peptides, and Proteins; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Bacterial Toxins; Biological Factors; Cancer immunotherapy; CD25-directed Cytotoxin; Enzymes and Coenzymes; Immunotherapy; Intercellular Signaling Peptides and Proteins; Interleukins; Narrow Therapeutic Index Drugs; Peptides; Proteins; Recombinant Fusion Proteins; Recombinant Proteins; Toxins, Biological",No,,,,0,0,Yes,approved; investigational
Etanercept,,biotech,"Agents reducing cytokine levels; Amino Acids, Peptides, and Proteins; Anti-Inflammatory Agents; Antibodies; Antirheumatic Agents; Biological Products; Biologics for Rheumatoid Arthritis Treatment; Dermatologicals; Disease-modifying Antirheumatic Agents; Immunoglobulin Constant Regions; Immunoglobulin Fc Fragments; Immunoglobulin Fragments; Immunoglobulin Isotypes; Immunologic Factors; Immunoproteins; Immunosuppressive Agents; Membrane Proteins; Peptides; Proteins; Tumor necrosis factor alpha (TNF-alpha) inhibitors; Tumor Necrosis Factor Blockers",No,,,,0,0,Yes,approved; investigational
Bivalirudin,,small molecule,"Amino Acids, Peptides, and Proteins; Anticoagulants; Antithrombins; Blood and Blood Forming Organs; Enzyme Inhibitors; Hematologic Agents; Peptides; Protease Inhibitors; Serine Protease Inhibitors; Thrombin Inhibitors",No,,,,0,2,Yes,approved; investigational
Leuprolide,,biotech,"Adrenal Cortex Hormones; Agents Causing Muscle Toxicity; Amino Acids, Peptides, and Proteins; Antineoplastic Agents; Antineoplastic Agents, Hormonal; Antineoplastic and Immunomodulating Agents; Drugs causing inadvertant photosensitivity; Drugs that are Mainly Renally Excreted; Endocrine Therapy; Fertility Agents; Fertility Agents, Female; Gonadotropin Releasing Hormone Receptor Agonist; Gonadotropin Releasing Hormone Receptor Agonists; Gonadotropin-releasing hormone agonist; Gonadotropins; Hormones and Related Agents; Hyperglycemia-Associated Agents; Hypothalamic Hormones; Moderate Risk QTc-Prolonging Agents; Nerve Tissue Proteins; Neuropeptides; Oligopeptides; Peptides; Photosensitizing Agents; Pituitary Hormone-Releasing Hormones; Proteins; QTc Prolonging Agents; Reproductive Control Agents",No,,,,0,0,Yes,approved; investigational
Peginterferon alfa-2a,,biotech,"Adjuvants, Immunologic; Alcohols; Alfa Interferons; Amino Acids, Peptides, and Proteins; Anti-Infective Agents; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Antiviral Agents; Biological Factors; Cardiotoxic antineoplastic agents; Compounds used in a research, industrial, or household setting; Cytochrome P-450 CYP1A2 Inhibitors; Cytochrome P-450 CYP1A2 Inhibitors (strength unknown); Cytochrome P-450 Enzyme Inhibitors; Cytokines; Drug Carriers; Ethylene Glycols; Glycols; Hepatotoxic Agents; Immunosuppressive Agents; Intercellular Signaling Peptides and Proteins; Interferon alpha; Interferon Type I; Interferons; Macromolecular Substances; Myelosuppressive Agents; Narrow Therapeutic Index Drugs; Pegylated agents; Peptides; Polymers; Proteins; Treatments for Hepatitis C",No,,,,0,1,Yes,approved; investigational
Alteplase,,biotech,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Blood and Blood Forming Organs; Blood Proteins; Cardiovascular Agents; Endopeptidases; Enzymes; Enzymes and Coenzymes; Fibrin Modulating Agents; Fibrinolytic Agents; Hematologic Agents; Hydrolases; Ophthalmologicals; Peptide Hydrolases; Plasminogen Activators; Proteins; Sensory Organs; Serine Endopeptidases; Serine Proteases; Tissue Plasminogen Activator; Tissue Plasminogen Activator, antagonists & inhibitors",No,,,,0,1,Yes,approved; investigational
Sermorelin,,biotech,"Amino Acids, Peptides, and Proteins; Anterior Pituitary Lobe Hormones and Analogues; Diagnostic Agents; Growth Hormone-Releasing Hormone; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Hypothalamic Hormones; Nerve Tissue Proteins; Neuropeptides; Peptide Hormones; Peptides; Pituitary and Hypothalamic Hormones and Analogues; Pituitary Hormone-Releasing Hormones; Somatropin and Somatropin Agonists; Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins; Tests for Pituitary Function",No,,,,0,0,Yes,approved; withdrawn
Interferon alfa-n1,,biotech,"Adjuvants, Immunologic; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Antiviral Agents; Biological Factors; Cytochrome P-450 CYP1A2 Inhibitors; Cytochrome P-450 CYP1A2 Inhibitors (strength unknown); Cytochrome P-450 Enzyme Inhibitors; Cytokines; Immunosuppressive Agents; Intercellular Signaling Peptides and Proteins; Interferon Type I; Interferons; Myelosuppressive Agents; Peptides; Proteins",No,,,,0,1,Yes,approved; investigational
