Name,DrugBank ID (Primary),Type,Groups,Categories,has_dosing,Frequency,Times Per Day,Routes,Dosing Source,Interaction Count,Food Interaction Count,Has Description,Has Mechanism,Has Absorption,Has Metabolism,Has Half Life
Lepirudin,DB00001,biotech,approved; withdrawn,"Amino Acids, Peptides, and Proteins; Anticoagulants; Antithrombin Proteins; Antithrombins; Blood and Blood Forming Organs",Yes,,,Intravenous,DrugBank text extraction,653,1,Yes,Yes,Yes,Yes,Yes
Cetuximab,DB00002,biotech,approved,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antineoplastic Agents",Yes,,,,OpenFDA,411,0,Yes,Yes,Yes,Yes,Yes
Dornase alfa,DB00003,biotech,approved,"Amino Acids, Peptides, and Proteins; Cough and Cold Preparations; Decreased Respiratory Secretion Viscosity; Deoxyribonucleases; Endodeoxyribonucleases",Yes,Once daily,1,,OpenFDA,0,0,Yes,Yes,Yes,Yes,No
Denileukin diftitox,DB00004,biotech,approved; investigational,"ADP Ribose Transferases; Amino Acids, Peptides, and Proteins; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Bacterial Toxins",Yes,,,,OpenFDA,38,0,Yes,Yes,Yes,Yes,Yes
Etanercept,DB00005,biotech,approved; investigational,"Agents reducing cytokine levels; Amino Acids, Peptides, and Proteins; Anti-Inflammatory Agents; Antibodies; Antirheumatic Agents",Yes,,,,OpenFDA,1028,0,Yes,Yes,Yes,Yes,Yes
Bivalirudin,DB00006,small molecule,approved; investigational,"Amino Acids, Peptides, and Proteins; Anticoagulants; Antithrombins; Blood and Blood Forming Organs; Enzyme Inhibitors",Yes,,,,OpenFDA,640,2,Yes,Yes,Yes,Yes,Yes
Leuprolide,DB00007,biotech,approved; investigational,"Adrenal Cortex Hormones; Agents Causing Muscle Toxicity; Amino Acids, Peptides, and Proteins; Antineoplastic Agents; Antineoplastic Agents, Hormonal",Yes,,,,OpenFDA,1194,0,Yes,Yes,Yes,Yes,Yes
Peginterferon alfa-2a,DB00008,biotech,approved; investigational,"Adjuvants, Immunologic; Alcohols; Alfa Interferons; Amino Acids, Peptides, and Proteins; Anti-Infective Agents",Yes,,,,OpenFDA,739,1,Yes,Yes,Yes,No,Yes
Alteplase,DB00009,biotech,approved; investigational,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Blood and Blood Forming Organs; Blood Proteins",Yes,,,,OpenFDA,705,1,Yes,Yes,Yes,Yes,Yes
Sermorelin,DB00010,biotech,approved; withdrawn,"Amino Acids, Peptides, and Proteins; Anterior Pituitary Lobe Hormones and Analogues; Diagnostic Agents; Growth Hormone-Releasing Hormone; Hormones",Yes,,,Intravenous,DrugBank text extraction,0,0,Yes,Yes,No,No,Yes
Interferon alfa-n1,DB00011,biotech,approved; investigational,"Adjuvants, Immunologic; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Antiviral Agents; Biological Factors",Yes,,,Subcutaneous; Intramuscular; Subcutaneous,DrugBank text extraction,655,1,Yes,Yes,No,No,Yes
Darbepoetin alfa,DB00012,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Antianemic Preparations; Blood and Blood Forming Organs; Carbohydrates; Colony-Stimulating Factors",Yes,,,,OpenFDA,585,1,Yes,Yes,No,No,No
Urokinase,DB00013,biotech,approved; investigational; withdrawn,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Biological Factors; Blood and Blood Forming Organs",Yes,,,Intravenous bolus; Intravenous drip; Intravitreal; Intravenous; Parenteral; Intra-arterial; Intravenous,DrugBank text extraction,703,1,Yes,Yes,Yes,Yes,Yes
Goserelin,DB00014,small molecule,approved,"Adrenal Cortex Hormones; Amino Acids, Peptides, and Proteins; Antineoplastic Agents; Antineoplastic Agents, Hormonal; Antineoplastic and Immunomodulating Agents",Yes,,,,OpenFDA,1134,0,Yes,Yes,Yes,Yes,Yes
Reteplase,DB00015,biotech,approved; investigational,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Biological Factors; Blood and Blood Forming Organs",Yes,,,Intravenous,DrugBank text extraction,704,1,Yes,Yes,No,No,No
Erythropoietin,DB00016,biotech,approved,"Amino Acids, Peptides, and Proteins; Antianemic Preparations; Biological Factors; Blood and Blood Forming Organs; Carbohydrates",Yes,,,,OpenFDA,612,1,Yes,Yes,Yes,Yes,Yes
Salmon calcitonin,DB00017,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Bone Density Conservation Agents; Bone Density, drug effects; Calcitonin Preparations; Calcium Homeostasis",Yes,,,Intramuscular; Intravenous; Subcutaneous; Not applicable; Intramuscular; Intramuscular; Subcutaneous; Nasal; Parenteral,DrugBank text extraction,921,2,Yes,Yes,Yes,Yes,Yes
Interferon alfa-n3,DB00018,biotech,approved; investigational,"Alfa Interferons; Amino Acids, Peptides, and Proteins; Biological Factors; Cytochrome P-450 CYP1A2 Inhibitors; Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)",Yes,,,Subcutaneous,DrugBank text extraction,658,0,Yes,Yes,No,No,No
Pegfilgrastim,DB00019,biotech,approved,"Adjuvants, Immunologic; Alcohols; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Biological Factors",Yes,,,,OpenFDA,45,0,Yes,Yes,Yes,Yes,Yes
Sargramostim,DB00020,biotech,approved; investigational,"Adjuvants, Immunologic; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Biological Factors; Carbohydrates",Yes,Once daily,1,,OpenFDA,9,0,Yes,Yes,No,No,No
Peginterferon alfa-2b,DB00022,biotech,approved,"Adjuvants, Immunologic; Alcohols; Alfa Interferons; Amino Acids, Peptides, and Proteins; Anti-Infective Agents",Yes,,,Subcutaneous; Oral; Subcutaneous,DrugBank text extraction,970,1,Yes,Yes,Yes,No,Yes
Asparaginase Escherichia coli,DB00023,biotech,approved; investigational,Amidohydrolases; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Asparaginase; Asparagine-specific Enzyme,Yes,,,Intramuscular; Intramuscular; Intravenous; Intravenous; Parenteral; Intramuscular; Intrathecal; Intravenous,DrugBank text extraction,59,0,Yes,Yes,Yes,No,Yes
Thyrotropin alfa,DB00024,biotech,approved; vet_approved,"Agents used to treat hypothyroidism; Anterior Pituitary Lobe Hormones and Analogues; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Peptide Hormones",Yes,,,,OpenFDA,487,0,Yes,Yes,Yes,No,Yes
"Antihemophilic factor, human recombinant",DB00025,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Biological Factors; Blood and Blood Forming Organs; Blood Coagulation Factors; Blood Proteins",Yes,,,Intravenous; Parenteral; Intravenous; Parenteral,DrugBank text extraction,92,0,Yes,Yes,No,No,Yes
Anakinra,DB00026,biotech,approved; investigational,"Agents reducing cytokine levels; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Antirheumatic Agents; Biological Factors",Yes,Once daily,1,,OpenFDA,1028,0,Yes,Yes,Yes,Yes,Yes
Gramicidin D,DB00027,small molecule,approved,"Amino Acids, Peptides, and Proteins; Anti-Bacterial Agents; Anti-Infective Agents; Anti-Infective Agents, Local; Membrane Proteins",Yes,,,Auricular (otic); Auricular (otic); Ophthalmic; Topical; Nasal; Ophthalmic; Oral,DrugBank text extraction,55,0,Yes,Yes,No,No,No
Human immunoglobulin G,DB00028,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antigen Neutralization; Blood Proteins; Globulins",Yes,,,,OpenFDA,373,0,Yes,Yes,No,No,Yes
Anistreplase,DB00029,biotech,approved,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Blood and Blood Forming Organs; Blood Proteins",Yes,,,Intravenous,DrugBank text extraction,703,1,Yes,Yes,No,No,No
Insulin human,DB00030,biotech,approved; investigational,"Alimentary Tract and Metabolism; Amino Acids, Peptides, and Proteins; Blood Glucose Lowering Agents; Cytochrome P-450 CYP1A2 Inducers; Cytochrome P-450 CYP1A2 Inducers (strength unknown)",Yes,,,,OpenFDA,791,1,Yes,Yes,Yes,Yes,Yes
